Docket Entry ID,Document ID,Description
411972277,425207122,Release of Material Witness AND Take Deposition
411972276,425207121,Release of Material Witness AND Take Deposition
411972275,425207120,Shorten Time
411972274,425207119,Complaint
411972273,425207118,Shorten Time
411972272,425207117,Complaint
411972271,425207115,USCA Notice of Docketing ROA
411972270,425207109,Notice of Appeal (Fee Due)
411972269,425207108,Automatic docket of credit card/debit card
411972268,425207107,Application
411972267,425207106,Order on Motion to Seal
411972266,425207105,Report of Auctioneer [ LBF 753.52 - 12/1/21
411972265,425207104,Application
411972264,425207103,Order on Motion to Seal
411972263,425207102,Report of Auctioneer [ LBF 753.52 - 12/1/21
411972262,425207101,Certificate of Debtor Education
411972261,425207100,Certification of Completion of Postpetition Financial Management Course
411972260,425207099,Notice of Deficiency Chapter 7 (Case Opening Only)
411972259,425207098,Approve Loan Modification (Motion)
411972258,425207097,Certificate of Service
411972257,425207096,Chapter 13
411972256,425207095,Financial Management Course Certificate
411972255,425207094,Notice of Appearance
411972254,425207093,Corporate Disclosure Statement
411972253,425207092,Financial Management - Certificate of Debtor Education
411972252,425206967,Sealed Statement of Reasons
411972251,425206966,Judgment
411972250,425206965,Consent Order for Forfeiture of Property
411972249,425206964,Sentencing
411972248,425206963,Sealed Document
411972247,425206962,Memorandum in Support of Motion
411972246,425206961,Motion to Seal
411972245,425206960,Affidavit
411972244,425206959,Affidavit
411972243,425206958,Reply to Response
411972242,425206957,Presentence Investigation Report
411972241,425206956,Subpoena(s) Issued
411972240,425206955,Position on Sentencing
411972240,425206972,Exhibit Restitution letter to Clerk
411972240,425206973,Exhibit Forfeiture letter to Financial Litigation Unit
411972239,425206954,Position on Sentencing
411972239,425206968,Exhibit A
411972239,425206969,Exhibit B
411972239,425206970,Exhibit C
411972239,425206971,Exhibit D
411972238,425206953,Response to Motion
411972237,425206952,Order on Motion for Miscellaneous Relief
411972236,425206951,Presentence Investigation Report
411972235,425206950,Response in Opposition
411972234,425206949,Order on Motion for Extension
411972233,425206948,Memorandum in Support of Motion
411972232,425206947,Motion for Downward Departure
411972231,425206946,Memorandum in Support of Motion
411972230,425206945,Motion for Miscellaneous Relief
411972229,425206944,Memorandum in Support of Motion
411972228,425206943,Motion for Extension
411972227,425206942,Motion for Extension
411972226,425206941,Presentence Investigation Report
411972225,425206940,Subpoena(s) Returned
411972224,425206939,Sentencing Procedures Order
411972223,425206938,Statement of Facts
411972222,425206937,Plea Agreement
411972221,425206936,Plea Agreement Hearing
411972220,425206935,Motion for Hearing
411972219,425206934,Order on Motion for Extension of Time to File Response/Reply
411972218,425206933,Reply to Response
411972217,425206932,Reply to Response
411972216,425206931,Motion for Extension of Time to File Response/Reply
411972215,425206930,Motion for Extension of Time to File Response/Reply
411972214,425206929,Response in Opposition
411972213,425206928,Response to Motion
411972212,425206927,Motion for Leave to File
411972211,425206926,Memorandum in Support of Motion
411972210,425206925,Motion for Miscellaneous Relief
411972209,425206924,Memorandum in Support of Motion
411972208,425206923,Motion for Separate Trial on Counts
411972207,425206922,Order on Motion for Extension
411972206,425206921,Memorandum in Support of Motion
411972205,425206920,Motion for Extension
411972204,425206919,Order on Motion for Extension
411972203,425206918,Memorandum in Support of Motion
411972202,425206917,Motion for Extension
411972201,425206916,Arraignment
411972200,425206915,Notice (Other)
411972199,425206914,Indictment
411972198,425206913,Order on Motion for Miscellaneous Relief
411972197,425206912,Motion for Miscellaneous Relief
411972196,425206911,Order of Detention
411972195,425206910,Agreed Discovery Order
411972194,425206909,Arraignment and Detention Hearing
411972193,425206908,Pretrial Services Bond Report
411972192,425206907,Notice of Attorney Appearance - Defendant
411972191,425206906,Docket Call
411972190,425206905,Pretrial Services Bond Report
411972189,425206904,DPPA
411972188,425206903,Temporary Detention Order
411972187,425206902,Warrant Returned Executed
411972186,425206901,Initial Appearance
411972185,425206900,Application
411972184,425206899,Order on Motion to Seal
411972183,425206898,Application
411972182,425206897,Sentencing Memorandum
411972181,425206896,Certificate of Financial Management Course
411972180,425206895,Amended Chapter 13 Plan
411972179,425206894,Avoid Lien and Notice of Motion
411972178,425206893,Verification of List of Creditors
411972177,425206892,Auto-Docket of Credit Card
411972176,425206891,Personal Financial Management Course
411972175,425206890,Schedules/Statements or Amended Schedules/Statements
411972174,425206889,Meeting of Creditors 13
411972173,425206888,Personal Financial Management Course
411972172,425206887,Auto-Docket of Credit Card
411972171,425206886,Certificate of Debtor Education
411972170,425206885,Chapter 13
411972169,425206884,
411972168,425206883,
411972167,425206882,
411972166,425206881,
411972165,425206598,Waiver of Preliminary Hearing
411972164,425206597,Motion to Continue (Sealed)
411972163,425206596,Notice of Appeal
411972162,425206458,Summons (Affidavit) Returned Executed
411972161,425206457,Set Notice of Financial Course Due Date
411972160,425206456,Set Notice of Financial Course Due Date
411972159,425206455,Set Notice of Financial Course Due Date
411972158,425206454,Set Notice of Financial Course Due Date
411972157,425206453,Set Notice of Financial Course Due Date
411972156,425206452,Set Notice of Financial Course Due Date
411972155,425206451,Set Notice of Financial Course Due Date
411972154,425206450,Set Notice of Financial Course Due Date
411972153,425206449,Set Notice of Financial Course Due Date
411972152,425206448,Set Notice of Financial Course Due Date
