Docket Entry ID,Document ID,Description,Label
412060357,,"Set Hearings: Video/Telephone Conference set for 11/25/2024 at 02:15 PM before Judge Lewis A. Kaplan. Oral argument regarding DI 219 (as filed in 21CV5807). Counsel were emailed a video-conference link. All non-participating counsel, members of the public, or press can dial-in by telephone using phone number +1 646-453-4442, conference ID: 857 461 522#. Participants and listeners are reminded that unauthorized recording or re-broadcasting of the hearing is forbidden by Court rules. All participating attorneys are asked to mute their phones or microphones upon joining until they are speaking. All listeners are asked to mute their phones or microphones upon joining. Associated Cases: 1:21-cv-05807-LAK-VF, 1:21-cv-05973-LAK, 1:21-cv-06603-LAK, 1:21-cv-07550-LAK(Mohan, Andrew)",other
412060358,,"Minute Entry for proceedings held before Judge Lewis A. Kaplan: Video-Conference held on 11/25/2024. (Court Reporter Devon Gerber) Associated Cases: 1:21-cv-05807-LAK-VF, 1:21-cv-05973-LAK, 1:21-cv-06603-LAK, 1:21-cv-07550-LAK(Mohan, Andrew)",other
412060359,,"Set/Reset Hearings: Remote Conference set for 12/19/2024 at 02:30 PM before Judge Lewis A. Kaplan via video-conference. Counsel of record were sent invites via email to join by video. Interested parties, public, and press may dial-in to listen to the conference by dialing +1 646-453-4442, and entering Phone conference ID: 592 592 107#. All listeners are reminded that other than official court reporters, no recording or re-broadcasting of the conference is permitted. All non-participating attorneys that dial-in to listen must mute their phones upon joining the call. Associated Cases: 1:21-cv-05807-LAK-VF, 1:21-cv-05973-LAK, 1:21-cv-06603-LAK, 1:21-cv-07550-LAK(Mohan, Andrew)",other
412060360,,"Minute Entry for proceedings held before Judge Lewis A. Kaplan: Telephone Conference held on 12/19/2024. (Court Reporter Rebecca Forman) Associated Cases: 1:21-cv-05807-LAK-VF, 1:21-cv-05973-LAK, 1:21-cv-06603-LAK, 1:21-cv-07550-LAK(Mohan, Andrew)",other
412060361,,"Set Hearings: Case Management Conference set for 5/22/2024 at 02:00 PM in Courtroom 21B, 500 Pearl Street, New York, NY 10007 before Judge Lewis A. Kaplan. Associated Cases: 1:21-cv-05807-LAK, 1:21-cv-05973-LAK, 1:21-cv-06603-LAK, 1:21-cv-07550-LAK(Mohan, Andrew)",other
412060362,,"ORDER denying as moot (92) Motion to Dismiss in case 1:21-cv-05807-LAK (HEREBY ORDERED by Judge Lewis A. Kaplan)(Text Only Order) Filed In Associated Cases: 1:21-cv-05807-LAK, 1:21-cv-05973-LAK, 1:21-cv-06603-LAK, 1:21-cv-07550-LAK (Kaplan, Lewis) (Entered: 05/10/2022)",order
412060363,,"ORDER denying as moot (95) Motion to Dismiss in case 1:21-cv-05807-LAK (HEREBY ORDERED by Judge Lewis A. Kaplan)(Text Only Order) Filed In Associated Cases: 1:21-cv-05807-LAK, 1:21-cv-05973-LAK, 1:21-cv-06603-LAK, 1:21-cv-07550-LAK (Kaplan, Lewis) (Entered: 05/10/2022)",order
412060364,,NOTICE OF REDESIGNATION TO ANOTHER MAGISTRATE JUDGE. The above entitled action has been redesignated to Magistrate Judge Valerie Figueredo. Please note that this is a reassignment of the designation only. (sac),other
412060365,,"ORDER terminating (139) Letter Motion for Leave to File Document in case 1:21-cv-05807-LAK (HEREBY ORDERED by Judge Lewis A. Kaplan)(Text Only Order) Filed In Associated Cases: 1:21-cv-05807-LAK, 1:21-cv-05973-LAK, 1:21-cv-06603-LAK, 1:21-cv-07550-LAK (Kaplan, Lewis) (Entered: 09/15/2022)",order
412060366,,"Set Hearings: Case Management Conference set for 5/22/2024 at 02:00 PM in Courtroom 21B, 500 Pearl Street, New York, NY 10007 before Judge Lewis A. Kaplan. Associated Cases: 1:21-cv-05807-LAK, 1:21-cv-05973-LAK, 1:21-cv-06603-LAK, 1:21-cv-07550-LAK(Mohan, Andrew)",other
412060367,,"Set/Reset Hearings: Status Conference set for 5/22/2024 at 10:30 AM in Courtroom 21B, 500 Pearl Street, New York, NY 10007 before Judge Lewis A. Kaplan. Associated Cases: 1:21-cv-05807-LAK, 1:21-cv-05973-LAK, 1:21-cv-06603-LAK, 1:21-cv-07550-LAK(Mohan, Andrew)",other
412060368,,"Set/Reset Hearings: Status Conference set for 5/22/2024 at 10:30 AM in Courtroom 21B, 500 Pearl Street, New York, NY 10007 before Judge Lewis A. Kaplan. Associated Cases: 1:21-cv-05807-LAK, 1:21-cv-05973-LAK, 1:21-cv-06603-LAK, 1:21-cv-07550-LAK(Mohan, Andrew)",other
412060369,,"Set Hearings: Video/Telephone Conference set for 11/25/2024 at 02:15 PM before Judge Lewis A. Kaplan. Oral argument regarding DI 219 (as filed in 21CV5807). Counsel were emailed a video-conference link. All non-participating counsel, members of the public, or press can dial-in by telephone using phone number +1 646-453-4442, conference ID: 857 461 522#. Participants and listeners are reminded that unauthorized recording or re-broadcasting of the hearing is forbidden by Court rules. All participating attorneys are asked to mute their phones or microphones upon joining until they are speaking. All listeners are asked to mute their phones or microphones upon joining. Associated Cases: 1:21-cv-05807-LAK-VF, 1:21-cv-05973-LAK, 1:21-cv-06603-LAK, 1:21-cv-07550-LAK(Mohan, Andrew)",other
412060370,,"Minute Entry for proceedings held before Judge Lewis A. Kaplan: Video-Conference held on 11/25/2024. (Court Reporter Devon Gerber) Associated Cases: 1:21-cv-05807-LAK-VF, 1:21-cv-05973-LAK, 1:21-cv-06603-LAK, 1:21-cv-07550-LAK(Mohan, Andrew)",other
412060371,,"Set/Reset Hearings: Remote Conference set for 12/19/2024 at 02:30 PM before Judge Lewis A. Kaplan via video-conference. Counsel of record were sent invites via email to join by video. Interested parties, public, and press may dial-in to listen to the conference by dialing +1 646-453-4442, and entering Phone conference ID: 592 592 107#. All listeners are reminded that other than official court reporters, no recording or re-broadcasting of the conference is permitted. All non-participating attorneys that dial-in to listen must mute their phones upon joining the call. Associated Cases: 1:21-cv-05807-LAK-VF, 1:21-cv-05973-LAK, 1:21-cv-06603-LAK, 1:21-cv-07550-LAK(Mohan, Andrew)",other
412060372,,"Minute Entry for proceedings held before Judge Lewis A. Kaplan: Telephone Conference held on 12/19/2024. (Court Reporter Rebecca Forman) Associated Cases: 1:21-cv-05807-LAK-VF, 1:21-cv-05973-LAK, 1:21-cv-06603-LAK, 1:21-cv-07550-LAK(Mohan, Andrew)",other
412060373,,"Set Hearings: Video/Telephone Conference set for 11/25/2024 at 02:15 PM before Judge Lewis A. Kaplan. Oral argument regarding DI 219 (as filed in 21CV5807). Counsel were emailed a video-conference link. All non-participating counsel, members of the public, or press can dial-in by telephone using phone number +1 646-453-4442, conference ID: 857 461 522#. Participants and listeners are reminded that unauthorized recording or re-broadcasting of the hearing is forbidden by Court rules. All participating attorneys are asked to mute their phones or microphones upon joining until they are speaking. All listeners are asked to mute their phones or microphones upon joining. Associated Cases: 1:21-cv-05807-LAK-VF, 1:21-cv-05973-LAK, 1:21-cv-06603-LAK, 1:21-cv-07550-LAK(Mohan, Andrew)",other
412060374,,"Minute Entry for proceedings held before Judge Lewis A. Kaplan: Video-Conference held on 11/25/2024. (Court Reporter Devon Gerber) Associated Cases: 1:21-cv-05807-LAK-VF, 1:21-cv-05973-LAK, 1:21-cv-06603-LAK, 1:21-cv-07550-LAK(Mohan, Andrew)",other
412060375,,"Set/Reset Hearings: Remote Conference set for 12/19/2024 at 02:30 PM before Judge Lewis A. Kaplan via video-conference. Counsel of record were sent invites via email to join by video. Interested parties, public, and press may dial-in to listen to the conference by dialing +1 646-453-4442, and entering Phone conference ID: 592 592 107#. All listeners are reminded that other than official court reporters, no recording or re-broadcasting of the conference is permitted. All non-participating attorneys that dial-in to listen must mute their phones upon joining the call. Associated Cases: 1:21-cv-05807-LAK-VF, 1:21-cv-05973-LAK, 1:21-cv-06603-LAK, 1:21-cv-07550-LAK(Mohan, Andrew)",other
412060376,,"Minute Entry for proceedings held before Judge Lewis A. Kaplan: Telephone Conference held on 12/19/2024. (Court Reporter Rebecca Forman) Associated Cases: 1:21-cv-05807-LAK-VF, 1:21-cv-05973-LAK, 1:21-cv-06603-LAK, 1:21-cv-07550-LAK(Mohan, Andrew)",other
412060337,,"TEXT ORDER discharging the 1/19/2021 Order to show cause (Doc. 15). Upon consideration of the parties' joint response to the Court's Order to show cause (Doc. 18) and the filing of the Case Management Report (Doc. 19), the Court finds that the parties have demonstrated sufficient good cause for the Court to discharge the Order to show cause without taking or requiring further action, (see Doc. 15). Signed by Magistrate Judge Mac R. McCoy on 2/3/2021. (CM) (Entered: 02/03/2021)",order
412060338,,"NOTICE of hearing: Preliminary Pretrial Conference set for 3/3/2021 at 09:30 AM in Ft. Myers Courtroom 5 C before Magistrate Judge Mac R. McCoy. DIAL IN INSTRUCTIONS: TOLL FREE NUMBER: 1-888-273-3658, ACCESS CODE: 8335587. Dial in at least 5 minutes before hearing time. Landline preferred. Do not use the speaker phone feature during the call. (jmc) (Entered: 02/08/2021)",other
412060339,,"NOTICE OF RESCHEDULING HEARING: The Preliminary Pretrial hearing previously scheduled for 3/3/2021 is rescheduled. New scheduling date and time: Telephonic Preliminary Pretrial Conference set for 3/16/2021 at 10:30 AM before Magistrate Judge Mac R. McCoy. TOLL FREE NUMBER: 1-888-273-3658, ACCESS CODE: 8335587. Dial in at least 5 minutes before hearing time. Landline preferred. Do not use the speaker phone feature during the call. (jmc) (Entered: 02/24/2021)",other
412060340,,TEXT ORDER requiring the parties or the mediator to file a notice advising the Court of the status of the mediation conference and its outcome no later than 3/15/2021. Signed by Magistrate Judge Mac R. McCoy on 3/11/2021. (CM) (Entered: 03/11/2021),order
412060341,,NOTICE canceling Preliminary Pretrial hearing scheduled for 3/16/2021. (jmc) (Entered: 03/15/2021),other
412060342,,"ENDORSED ORDER granting 32 Joint Response to Court's Order, construed as a motion for an extension of time to file a Joint Motion for Approval of Settlement Agreement. The parties must file their Joint Motion for Approval of Settlement Agreement no later than 4/1/2021. Signed by Magistrate Judge Mac R. McCoy on 3/29/2021. (CM) (Entered: 03/29/2021)",order
412060343,,Set/Reset Hearings: Telephone Conference set for 10/1/2024 at 10:00 AM before Magistrate Judge Valerie Figueredo. (sgz),other
412060344,,Set/Reset Deadlines: Fact Discovery due by 6/24/2025. (yv),other
412060345,,Minute Entry for proceedings held before Magistrate Judge Valerie Figueredo: Telephone Conference held on 10/1/2024. (sjo),other
412060346,,Set/Reset Hearings: Telephone Conference set for 11/7/2024 at 02:00 PM before Magistrate Judge Valerie Figueredo. (sgz),other
412060347,,"Set Hearings: Video/Telephone Conference set for 11/25/2024 at 02:15 PM before Judge Lewis A. Kaplan. Oral argument regarding DI 219 (as filed in 21CV5807). Counsel were emailed a video-conference link. All non-participating counsel, members of the public, or press can dial-in by telephone using phone number +1 646-453-4442, conference ID: 857 461 522#. Participants and listeners are reminded that unauthorized recording or re-broadcasting of the hearing is forbidden by Court rules. All participating attorneys are asked to mute their phones or microphones upon joining until they are speaking. All listeners are asked to mute their phones or microphones upon joining. Associated Cases: 1:21-cv-05807-LAK-VF, 1:21-cv-05973-LAK, 1:21-cv-06603-LAK, 1:21-cv-07550-LAK(Mohan, Andrew)",other
412060348,,"Minute Entry for proceedings held before Judge Lewis A. Kaplan: Video-Conference held on 11/25/2024. (Court Reporter Devon Gerber) Associated Cases: 1:21-cv-05807-LAK-VF, 1:21-cv-05973-LAK, 1:21-cv-06603-LAK, 1:21-cv-07550-LAK(Mohan, Andrew)",other
412060349,,Minute Entry for proceedings held before Magistrate Judge Valerie Figueredo: Discovery Hearing held on 12/9/2024. (sjo),other
412060350,,Set/Reset Deadlines: Responses due by 12/13/2024 (yv),other
412060351,,"Set/Reset Hearings: Remote Conference set for 12/19/2024 at 02:30 PM before Judge Lewis A. Kaplan via video-conference. Counsel of record were sent invites via email to join by video. Interested parties, public, and press may dial-in to listen to the conference by dialing +1 646-453-4442, and entering Phone conference ID: 592 592 107#. All listeners are reminded that other than official court reporters, no recording or re-broadcasting of the conference is permitted. All non-participating attorneys that dial-in to listen must mute their phones upon joining the call. Associated Cases: 1:21-cv-05807-LAK-VF, 1:21-cv-05973-LAK, 1:21-cv-06603-LAK, 1:21-cv-07550-LAK(Mohan, Andrew)",other
412060352,,Set/Reset Deadlines: Responses due by 12/31/2024 (yv),other
